season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
4,10,Apolo Anton Ohno,0.4390419973857568,0.05265476354008841,0.20331742795824842,29.3332,0.42454264364917443,0.33976850076853665,False
4,10,Joey Fatone,0.32602030277512584,0.03890748438117999,0.15211350673331278,28.6665,0.3247948797993052,0.3320460681848982,False
4,10,Laila Ali,0.23493769983911705,0.04314473354339303,0.16469290251005908,28.3332,0.2506624765515202,0.32818543104656506,False
5,1,Sabrina Bryan,0.032209607968226125,0.024601118270893133,0.09184305376146432,26.0,0.0144513589199542,0.10116731517509728,False
5,1,Helio Castroneves,0.24222676633719298,0.05977842276724463,0.23159065734073694,25.0,0.2776347804368394,0.09727626459143969,False
5,1,Jane Seymour,0.05663186127937535,0.032751903632385386,0.1242799118558733,24.0,0.04728781379474385,0.0933852140077821,False
5,1,Mel B,0.18630165231064147,0.05456023750124105,0.21136807847193484,24.0,0.20865631537936016,0.0933852140077821,False
5,1,Albert Reed,0.017155620912259587,0.01806678357889148,0.06582942095800358,21.0,0.0007228797720564453,0.08171206225680934,False
5,1,Cameron Mathison,0.07017432282837448,0.03593185840786398,0.13663054235145383,21.0,0.06676272242635348,0.08171206225680934,False
5,1,Jennie Garth,0.10209391420058857,0.04257589920748083,0.1638957059279813,21.0,0.10687396750409904,0.08171206225680934,False
5,1,Marie Osmond,0.1806958907929875,0.05400410416753534,0.21160404894918944,21.0,0.2045415627611627,0.08171206225680934,False
5,1,Mark Cuban,0.044063620805571656,0.028557095948538298,0.10865198897959298,21.0,0.03464601604479293,0.08171206225680934,False
5,1,Wayne Newton,0.03623733328863923,0.026114862331846674,0.09708377329587507,19.0,0.025931712810815008,0.07392996108949416,False
5,1,Floyd Mayweather Jr. ,0.025812712456261377,0.02184095686988691,0.08148781805617136,18.0,0.01239985775194389,0.07003891050583658,False
5,1,Josie Maran,0.00639669681988154,0.0064063086457989875,0.02246353886519621,16.0,9.101239787909953e-05,0.0622568093385214,True
5,2,Helio Castroneves,0.24011570462396162,0.0594265430853989,0.2299817879321112,27.0,0.27766005094387103,0.1134453781512605,False
5,2,Sabrina Bryan,0.03241914025219173,0.024853388935529075,0.09136042197434793,26.0,0.014452674292497324,0.1092436974789916,False
5,2,Marie Osmond,0.17980036140599706,0.053536414622898806,0.21077125114362372,24.0,0.20456018027367995,0.10084033613445378,False
5,2,Mel B,0.18112253892851507,0.053796263741077474,0.20594084635633994,23.0,0.20867530741946652,0.09663865546218488,False
5,2,Albert Reed,0.005770299540314445,0.0054273240332962935,0.019944164899557644,21.0,0.000722945569066222,0.08823529411764706,True
5,2,Cameron Mathison,0.07006085207114213,0.03473723864918548,0.13442770428665124,21.0,0.06676879921487351,0.08823529411764706,False
5,2,Floyd Mayweather Jr. ,0.030588837067739537,0.022405883475361703,0.08458292518664873,21.0,0.012400986395451803,0.08823529411764706,False
5,2,Jane Seymour,0.05454362733938056,0.031116817211548416,0.11865393585110255,21.0,0.047292117963800506,0.08823529411764706,False
5,2,Jennie Garth,0.10059539359852636,0.04142489566705045,0.15887069096515405,21.0,0.10688369524549748,0.08823529411764706,False
5,2,Mark Cuban,0.049277582031793526,0.025712165802332383,0.09808634441939243,18.0,0.03464916954879808,0.07563025210084033,False
5,2,Wayne Newton,0.055705663140438316,0.022920052075872336,0.08655125657216788,15.0,0.025934073132997608,0.06302521008403361,False
5,3,Jane Seymour,0.06072488275045162,0.03337333972995995,0.12895116413961416,27.0,0.047326332326055785,0.11297071129707113,False
5,3,Mel B,0.19155571677827193,0.05567941643655067,0.21639048282519613,27.0,0.20882627745145466,0.11297071129707113,False
5,3,Sabrina Bryan,0.034761078745070374,0.026140591681950615,0.09767311670354531,27.0,0.014463130348497596,0.11297071129707113,False
5,3,Jennie Garth,0.10794885238890137,0.04349005511165257,0.1662593523251904,26.0,0.10696102224259056,0.1087866108786611,False
